Date,SP500,NDX,DJI,EWJ,EEM,EFA,GLD,USO,IEF,HYG,VNQ,SPTSX,SXXP,ASX,UUP,FXE,CPI,FDFD
4/30/2025,5569.06,19571.02,40669.36,71.43,43.76,84.75,303.77,63.56,96.07,78.6,88.33,24841.68,527.48,4594.05,27.41,104.63,2.3,4.31
3/31/2025,5611.85,19278.45,42001.76,68.56,43.7,81.73,288.14,77.33,95.37,78.89,90.54,24917.5,533.92,4623.62,28.54,99.9,2.4,4.31
2/28/2025,5954.5,20884.41,43840.91,68.47,43.21,81.58,263.27,75.22,95.32,80.13,93.9,25393.45,557.19,4754.32,29.39,95.84,2.8,4.31
1/31/2025,6040.53,21478.05,44544.66,68.31,42.72,79.24,258.56,78.02,93.02,79.72,90.55,25533.1,539.53,4710.58,29.51,95.83,3,4.31
12/31/2024,5881.63,21012.17,42544.22,67.1,41.82,75.61,242.13,75.55,92.45,78.65,89.08,24727.94,507.62,4467.8,29.42,95.66,2.9,4.32
11/29/2024,6032.38,20930.37,44910.65,69.69,43.26,78.97,245.59,71.61,95.19,80.04,98.16,25648,510.25,4524.88,29.85,97.61,2.7,4.56
10/31/2024,5705.45,19890.42,41763.46,68.07,44.45,79.22,253.51,73.08,94.52,79.14,94.15,24156.87,505.39,4431.83,29.2,100.505,2.6,4.81
9/30/2024,5762.48,20060.69,42330.15,71.54,45.86,83.63,243.06,69.92,98.12,80.3,97.42,24000.37,522.89,4511,28.18,102.865,2.4,4.81
8/30/2024,5648.4,19574.64,41563.08,71.97,43.37,82.98,231.29,74.34,97.07,79.34,95.13,23346.18,525.05,4576.73,28.27,102.19,2.5,5.31
7/31/2024,5522.3,19362.43,40842.79,70.97,42.95,80.36,226.55,77.74,96.07,78.54,90.41,23110.81,518.18,4588.31,28.76,100.02,2.9,5.31
6/28/2024,5460.48,19682.87,39118.86,68.24,42.59,78.33,215.01,79.59,93.65,77.14,83.76,21875.79,511.42,4451.92,29.13,98.96,3,5.31
